                                      C1,,,,,,                                       C2,,,,,,                                       C3,,,,,,                                       C4,,Speckle Contrast,,
Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,Set2,set3,Mean
30,0.540197662,0.319592579,0.506568124,0.455452788,,30,0.414914338,0.355943116,0.506568124,0.425808526,,30,0.43787,0.173032689,0.374584765,0.328495818,,30,0.378742895,0.374584765,,0.37666383
31,0.533263474,0.348403561,0.521141462,0.467602832,,31,0.387473351,0.293746049,0.521141462,0.400786954,,31,0.4235,0.19086879,0.379819946,0.331396245,,31,0.353591628,0.379819946,,0.366705787
32,0.519923862,0.47100246,0.445244609,0.478723644,,32,0.400439627,0.273076978,0.445244609,0.372920405,,32,0.4235,0.179189256,0.420679927,0.341123061,,32,0.338678227,0.420679927,,0.379679077
33,0.578066685,0.286169774,0.478023792,0.447420084,,33,0.437429425,0.258581203,0.478023792,0.391344807,,33,0.4235,0.150422097,0.35122702,0.308383039,,33,0.354809732,0.35122702,,0.353018376
34,0.517401295,0.345259436,0.394020525,0.418893752,,34,0.406754158,0.252486591,0.394020525,0.351087091,,34,0.4235,0.145383846,0.332949863,0.300611236,,34,0.359540048,0.332949863,,0.346244955
35,0.608631287,0.359762694,0.435035095,0.467809692,,35,0.394706149,0.225231591,0.435035095,0.351657612,,35,0.4235,0.150956338,0.427985434,0.334147257,,35,0.356927409,0.427985434,,0.392456422
36,0.562288516,0.331853415,0.407247718,0.43379655,,36,0.411649935,0.227008061,0.407247718,0.348635238,,36,0.4235,0.185038545,0.453307597,0.353948714,,36,0.430485429,0.453307597,,0.441896513
37,0.537922671,0.335707061,0.415623031,0.429750921,,37,0.422468592,0.255373735,0.415623031,0.364488453,,37,0.4235,0.197627949,0.327913448,0.316347132,,37,0.389508359,0.327913448,,0.358710903
38,0.582906517,0.376045356,0.414333519,0.457761797,,38,0.418168944,0.24209292,0.414333519,0.358198461,,38,0.4235,0.159871245,0.420123719,0.334498321,,38,0.429520344,0.420123719,,0.424822031
39,0.595692131,0.338365957,0.459004662,0.46435425,,39,0.434166893,0.237499156,0.459004662,0.376890237,,39,0.4235,0.192160523,0.386770534,0.334143686,,39,0.432966449,0.386770534,,0.409868492
40,0.56384292,0.386706091,0.455587954,0.468712322,,40,0.405380953,0.237354348,0.455587954,0.366107752,,40,0.4235,0.161099296,0.359647817,0.314749038,,40,0.403763006,0.359647817,,0.381705412
41,0.574887564,0.311410978,0.325111114,0.403803219,,41,0.394705311,0.2108296,0.325111114,0.310215342,,41,0.4235,0.1797955,0.394774338,0.332689946,,41,0.418442803,0.394774338,,0.406608571
42,0.452943123,0.507853923,0.362870399,0.441222482,,42,0.402064404,0.263084752,0.362870399,0.342673185,,42,0.4235,0.158635805,0.32013487,0.300756892,,42,0.378344277,0.32013487,,0.349239573
43,0.528718796,0.256238538,0.390827786,0.391928373,,43,0.398874531,0.239546679,0.390827786,0.343082999,,43,0.4235,0.159288882,0.4361351,0.339641327,,43,0.365217111,0.4361351,,0.400676106
44,0.495886782,0.431098103,0.348979552,0.425321479,,44,0.363181233,0.208484667,0.348979552,0.306881817,,44,0.4235,0.180452239,0.480192069,0.361381436,,44,0.368978411,0.480192069,,0.42458524
45,0.536718592,0.268697019,0.418860961,0.408092191,,45,0.400881206,0.199714141,0.418860961,0.339818769,,45,0.4235,0.167454388,0.397145862,0.32936675,,45,0.403544347,0.397145862,,0.400345104
46,0.579218669,0.311260734,0.391147526,0.427208976,,46,0.377332995,0.215038244,0.391147526,0.327839588,,46,0.4235,0.185145717,0.503505877,0.370717198,,46,0.410518603,0.503505877,,0.45701224
47,0.583693181,0.301217194,0.462423063,0.449111146,,47,0.414529399,0.220858519,0.462423063,0.365936994,,47,0.4235,0.199288683,0.376669844,0.333152842,,47,0.365815423,0.376669844,,0.371242633
48,0.502030311,0.370042232,0.450716496,0.44092968,,48,0.472480497,0.259302893,0.450716496,0.394166629,,48,0.4235,0.178956746,0.355890703,0.31944915,,48,0.36703809,0.355890703,,0.361464397
49,0.534627654,0.314684556,0.451241924,0.433518045,,49,0.419669875,0.258777175,0.451241924,0.376562991,,49,0.4235,0.157165869,0.452189847,0.344285239,,49,0.371972086,0.452189847,,0.412080967
50,0.473562855,0.443172686,0.440227793,0.452321111,,50,0.420389917,0.222106548,0.440227793,0.360908086,,50,0.4235,0.185839302,0.369617557,0.326318953,,50,0.429572967,0.369617557,,0.399595262
51,0.533437577,0.266315884,0.508026824,0.435926762,,51,0.437526403,0.245844216,0.508026824,0.397132481,,51,0.4235,0.157021149,0.45135356,0.343958236,,51,0.35888224,0.45135356,,0.4051179
52,0.575443476,0.326583434,0.422130196,0.441385702,,52,0.459690101,0.224774193,0.422130196,0.36886483,,52,0.4235,0.15473103,0.426923712,0.335051581,,52,0.377883406,0.426923712,,0.402403559
53,0.566425168,0.319777932,0.432880772,0.439694624,,53,0.391105242,0.250737541,0.432880772,0.358241185,,53,0.4235,0.158379065,0.4191454,0.333674822,,53,0.434506,0.4191454,,0.4268257
54,0.547745907,0.241220456,0.430426211,0.406464191,,54,0.471427949,0.272305159,0.430426211,0.39138644,,54,0.4235,0.152020105,0.468723096,0.348081067,,54,0.473981259,0.468723096,,0.471352177
55,0.521183125,0.366119431,0.385371322,0.424224626,,55,0.434496087,0.250294768,0.385371322,0.356720726,,55,0.4235,0.16281616,0.435824738,0.340713633,,55,0.394615732,0.435824738,,0.415220235
